Cannot exec './scripts/conditions.sh': No such file or directory
Cannot exec './scripts/conditions.sh limit --datarate=100bps': No such file or directory
kroot@fedora:~\[?2004h[root@fedora ~]# PING 192.168.1.107 (192.168.1.107) from 192.168.1.251 wlp4s0: 56(84) bytes of data.
250 packets transmitted, 250 received, 0% packet loss, time 249461ms
rtt min/avg/max/mdev = 1.073/2.271/14.007/1.483 ms
PING 192.168.1.107 (192.168.1.107) from 192.168.1.251 wlp4s0: 56(84) bytes of data.
64 bytes from 192.168.1.107: icmp_seq=1 ttl=64 time=0.962 ms
64 bytes from 192.168.1.107: icmp_seq=2 ttl=64 time=1.76 ms
64 bytes from 192.168.1.107: icmp_seq=3 ttl=64 time=2.43 ms
64 bytes from 192.168.1.107: icmp_seq=4 ttl=64 time=1.42 ms
64 bytes from 192.168.1.107: icmp_seq=5 ttl=64 time=1.55 ms
64 bytes from 192.168.1.107: icmp_seq=6 ttl=64 time=1.40 ms
64 bytes from 192.168.1.107: icmp_seq=7 ttl=64 time=2.48 ms
64 bytes from 192.168.1.107: icmp_seq=8 ttl=64 time=1.41 ms
64 bytes from 192.168.1.107: icmp_seq=9 ttl=64 time=1.44 ms
64 bytes from 192.168.1.107: icmp_seq=10 ttl=64 time=1.11 ms
64 bytes from 192.168.1.107: icmp_seq=11 ttl=64 time=8.15 ms
64 bytes from 192.168.1.107: icmp_seq=12 ttl=64 time=1.50 ms
64 bytes from 192.168.1.107: icmp_seq=13 ttl=64 time=1.42 ms
64 bytes from 192.168.1.107: icmp_seq=14 ttl=64 time=1.44 ms
64 bytes from 192.168.1.107: icmp_seq=15 ttl=64 time=2.09 ms
64 bytes from 192.168.1.107: icmp_seq=16 ttl=64 time=1.54 ms
64 bytes from 192.168.1.107: icmp_seq=17 ttl=64 time=1.51 ms
64 bytes from 192.168.1.107: icmp_seq=18 ttl=64 time=1.54 ms
64 bytes from 192.168.1.107: icmp_seq=19 ttl=64 time=1.96 ms
64 bytes from 192.168.1.107: icmp_seq=20 ttl=64 time=3.32 ms
64 bytes from 192.168.1.107: icmp_seq=21 ttl=64 time=1.33 ms
64 bytes from 192.168.1.107: icmp_seq=22 ttl=64 time=1.43 ms
64 bytes from 192.168.1.107: icmp_seq=23 ttl=64 time=1.98 ms
64 bytes from 192.168.1.107: icmp_seq=24 ttl=64 time=1.60 ms
64 bytes from 192.168.1.107: icmp_seq=25 ttl=64 time=1.69 ms
64 bytes from 192.168.1.107: icmp_seq=26 ttl=64 time=1.53 ms
64 bytes from 192.168.1.107: icmp_seq=27 ttl=64 time=1.52 ms
64 bytes from 192.168.1.107: icmp_seq=28 ttl=64 time=1.54 ms
64 bytes from 192.168.1.107: icmp_seq=29 ttl=64 time=1.29 ms
64 bytes from 192.168.1.107: icmp_seq=30 ttl=64 time=1.69 ms
64 bytes from 192.168.1.107: icmp_seq=31 ttl=64 time=1.52 ms
64 bytes from 192.168.1.107: icmp_seq=32 ttl=64 time=1.35 ms
